#;Gemeinde;Bezirk / Statutarstadt;Einwohner 2013;Anlagen;Leistung [kW];[Watt/EW]
261;Lichtenau im Waldviertel;Krems-Land;2.034;47; 265,56 ;130,56
262;Lichtenegg;Wr. Neustadt-Land;1.074;26; 589,44 ;548,83
263;Lichtenwörth;Wr. Neustadt-Land;2.858;16; 77,83 ;27,23
264;Lilienfeld;Lilienfeld;2.837;37; 185,25 ;65,3
265;Litschau;Gmünd;2.272;24; 154,50 ;68
266;Loich;St. Pölten-Land;610;9; 48,75 ;79,92
267;Loosdorf;Melk;3.803;39; 202,48 ;53,24
268;Ludweis-Aigen;Waidhofen a.d. Thaya;977;32; 182,10 ;186,39
269;Lunz am See;Scheibbs;1.824;19; 111,36 ;61,05
270;Mailberg;Hollabrunn;568;11; 82,78 ;145,74
271;Maissau;Hollabrunn;1.898;24; 112,19 ;59,11
272;Mank;Melk;3.100;69; 511,11 ;164,87
273;Mannersdorf am Leithagebirge;Bruck;3.851;25; 174,21 ;45,24
274;Mannsdorf an der Donau;Gänserndorf;386;24; 159,51 ;413,24
275;Marbach an der Donau;Melk;1.645;27; 163,43 ;99,35
276;Marchegg;Gänserndorf;2.895;21; 112,11 ;38,73
277;Maria Enzersdorf;Mödling;8.647;54; 227,65 ;26,33
278;Maria Laach am Jauerling;Krems-Land;931;27; 197,58 ;212,22
279;Maria Taferl;Melk;866;9; 58,42 ;67,46
280;Maria-Anzbach;St. Pölten-Land;2.821;37; 191,20 ;67,78
281;Markersdorf-Haindorf;St. Pölten-Land;2.002;39; 247,81 ;123,78
282;Markgrafneusiedl;Gänserndorf;835;21; 179,87 ;215,41
283;Markt Piesting;Wr. Neustadt-Land;2.920;33; 184,56 ;63,21
284;Martinsberg;Zwettl;1.144;31; 290,18 ;253,65
285;Matzendorf-Hölles;Wr. Neustadt-Land;1.900;24; 114,35 ;60,18
286;Matzen-Raggendorf;Gänserndorf;2.708;30; 197,42 ;72,9
287;Mauerbach;Wien Umgebung;3.664;17; 99,24 ;27,09
288;Mautern an der Donau;Krems-Land;3.464;28; 157,24 ;45,39
289;Meiseldorf;Horn;920;20; 163,16 ;177,35
290;Melk;Melk;5.206;51; 429,51 ;82,5
291;Michelbach;St. Pölten-Land;894;30; 691,96 ;774
292;Michelhausen;Tulln;2.639;49; 283,96 ;107,6
293;Mistelbach;Mistelbach;11.012;95; 471,00 ;42,77
294;Mitterbach am Erlaufsee;Lilienfeld;531;8; 42,21 ;79,49
295;Mitterndorf an der Fischa;Baden;2.183;14; 78,35 ;35,89
296;Mödling;Mödling;20.457;55; 341,07 ;16,67
297;Mönichkirchen;Neunkirchen;607;17; 128,52 ;211,73
298;Moorbad Harbach;Gmünd;665;15; 133,06 ;200,09
299;Moosbrunn;Wien Umgebung;1.644;15; 65,86 ;40,06
300;Muckendorf-Wipfing;Tulln;1.332;15; 101,62 ;76,29
